Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+LSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+LSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 10]  30/72       SiLU+SELU      acc= 87.03  ETA  48.0m
[seed 40]  30/100  LeakyReLU+Hardswish acc= 86.13  ETA  81.3m
[seed 20]  31/100       Tanh+ReLU      acc= 86.47  ETA  77.9m
[seed 50]  31/100       Tanh+ReLU      acc= 86.35  ETA  78.1m
[seed 30]  31/100       Tanh+ReLU      acc= 86.95  ETA  78.6m
[seed 10]  31/72       SiLU+PReLU     acc= 86.94  ETA  46.9m
[seed 20]  32/100       Tanh+ELU       acc= 86.54  ETA  76.2m
[seed 40]  31/100       Tanh+ReLU      acc= 85.23  ETA  80.2m
[seed 50]  32/100       Tanh+ELU       acc= 87.08  ETA  77.1m
[seed 30]  32/100       Tanh+ELU       acc= 85.82  ETA  77.6m
[seed 10]  32/72       SiLU+Hardswish acc= 87.46  ETA  45.7m
[seed 20]  33/100       Tanh+LeakyReLU acc= 87.11  ETA  75.2m
[seed 40]  32/100       Tanh+ELU       acc= 87.23  ETA  79.1m
[seed 50]  33/100       Tanh+LeakyReLU acc= 86.55  ETA  76.1m
[seed 30]  33/100       Tanh+LeakyReLU acc= 86.33  ETA  76.3m
[seed 10]  33/72       Mish+ReLU      acc= 86.03  ETA  44.6m
[seed 20]  34/100       Tanh+Tanh      acc= 87.17  ETA  73.8m
[seed 40]  33/100       Tanh+LeakyReLU acc= 87.44  ETA  78.0m
[seed 50]  34/100       Tanh+Tanh      acc= 85.36  ETA  75.1m
[seed 30]  34/100       Tanh+Tanh      acc= 87.65  ETA  75.3m
[seed 10]  34/72       Mish+ELU       acc= 86.60  ETA  43.4m
[seed 20]  35/100       Tanh+GELU      acc= 87.03  ETA  72.6m
[seed 40]  34/100       Tanh+Tanh      acc= 85.87  ETA  76.9m
[seed 50]  35/100       Tanh+GELU      acc= 86.85  ETA  74.0m
[seed 10]  35/72       Mish+LeakyReLU acc= 86.28  ETA  42.2m
[seed 30]  35/100       Tanh+GELU      acc= 86.65  ETA  74.3m
[seed 20]  36/100       Tanh+SiLU      acc= 87.38  ETA  71.6m
[seed 40]  35/100       Tanh+GELU      acc= 85.48  ETA  75.8m
[seed 50]  36/100       Tanh+SiLU      acc= 87.08  ETA  73.0m
[seed 30]  36/100       Tanh+SiLU      acc= 86.17  ETA  73.0m
[seed 10]  36/72       Mish+Tanh      acc= 87.41  ETA  41.1m
[seed 20]  37/100       Tanh+Mish      acc= 86.44  ETA  70.5m
[seed 40]  36/100       Tanh+SiLU      acc= 87.50  ETA  74.7m
[seed 30]  37/100       Tanh+Mish      acc= 87.41  ETA  71.8m
[seed 10]  37/72       Mish+GELU      acc= 86.60  ETA  39.9m
[seed 50]  37/100       Tanh+Mish      acc= 86.07  ETA  72.0m
[seed 20]  38/100       Tanh+SELU      acc= 86.86  ETA  69.5m
[seed 40]  37/100       Tanh+Mish      acc= 86.43  ETA  73.6m
[seed 30]  38/100       Tanh+SELU      acc= 86.81  ETA  70.6m
[seed 10]  38/72       Mish+SiLU      acc= 87.30  ETA  38.7m
[seed 50]  38/100       Tanh+SELU      acc= 86.06  ETA  70.9m
[seed 20]  39/100       Tanh+PReLU     acc= 86.70  ETA  68.5m
[seed 30]  39/100       Tanh+PReLU     acc= 87.30  ETA  69.3m
[seed 40]  38/100       Tanh+SELU      acc= 87.15  ETA  72.5m
[seed 10]  39/72       Mish+Mish      acc= 87.12  ETA  37.7m
[seed 50]  39/100       Tanh+PReLU     acc= 86.47  ETA  69.9m
[seed 20]  40/100       Tanh+Hardswish acc= 86.64  ETA  67.5m
[seed 40]  39/100       Tanh+PReLU     acc= 87.12  ETA  71.2m
[seed 30]  40/100       Tanh+Hardswish acc= 86.35  ETA  68.3m
[seed 10]  40/72       Mish+SELU      acc= 86.54  ETA  36.6m
[seed 50]  40/100       Tanh+Hardswish acc= 86.05  ETA  68.8m
[seed 20]  41/100       GELU+ReLU      acc= 87.15  ETA  66.5m
