Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+BiLSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+BiLSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 40]  29/100  LeakyReLU+PReLU     acc= 86.77  ETA  79.2m
[seed 30]  31/100       Tanh+ReLU      acc= 86.46  ETA  72.1m
[seed 10]  32/100       Tanh+ELU       acc= 87.14  ETA  68.9m
[seed 50]  31/100       Tanh+ReLU      acc= 87.09  ETA  73.0m
[seed 20]  30/100  LeakyReLU+Hardswish acc= 86.97  ETA  76.7m
[seed 30]  32/100       Tanh+ELU       acc= 85.88  ETA  70.8m
[seed 10]  33/100       Tanh+LeakyReLU acc= 86.02  ETA  67.7m
[seed 40]  30/100  LeakyReLU+Hardswish acc= 87.44  ETA  78.2m
[seed 50]  32/100       Tanh+ELU       acc= 86.43  ETA  71.6m
[seed 20]  31/100       Tanh+ReLU      acc= 86.50  ETA  76.0m
[seed 30]  33/100       Tanh+LeakyReLU acc= 87.81  ETA  69.7m
[seed 10]  34/100       Tanh+Tanh      acc= 85.79  ETA  67.0m
[seed 40]  31/100       Tanh+ReLU      acc= 86.59  ETA  77.2m
[seed 50]  33/100       Tanh+LeakyReLU acc= 86.87  ETA  70.5m
[seed 20]  32/100       Tanh+ELU       acc= 87.54  ETA  74.8m
[seed 30]  34/100       Tanh+Tanh      acc= 87.44  ETA  68.7m
[seed 10]  35/100       Tanh+GELU      acc= 86.82  ETA  66.0m
[seed 40]  32/100       Tanh+ELU       acc= 86.72  ETA  75.6m
[seed 50]  34/100       Tanh+Tanh      acc= 85.76  ETA  69.5m
[seed 20]  33/100       Tanh+LeakyReLU acc= 86.87  ETA  73.6m
[seed 30]  35/100       Tanh+GELU      acc= 86.69  ETA  67.7m
[seed 40]  33/100       Tanh+LeakyReLU acc= 86.80  ETA  74.1m
[seed 50]  35/100       Tanh+GELU      acc= 85.16  ETA  68.2m
[seed 10]  36/100       Tanh+SiLU      acc= 87.52  ETA  65.3m
[seed 20]  34/100       Tanh+Tanh      acc= 87.06  ETA  72.6m
[seed 40]  34/100       Tanh+Tanh      acc= 85.62  ETA  72.6m
[seed 30]  36/100       Tanh+SiLU      acc= 86.98  ETA  66.6m
[seed 50]  36/100       Tanh+SiLU      acc= 86.82  ETA  67.1m
[seed 10]  37/100       Tanh+Mish      acc= 86.86  ETA  64.4m
[seed 40]  35/100       Tanh+GELU      acc= 86.48  ETA  71.2m
[seed 30]  37/100       Tanh+Mish      acc= 86.51  ETA  65.7m
[seed 20]  35/100       Tanh+GELU      acc= 87.12  ETA  71.6m
[seed 10]  38/100       Tanh+SELU      acc= 85.44  ETA  63.1m
[seed 50]  37/100       Tanh+Mish      acc= 86.97  ETA  66.1m
[seed 40]  36/100       Tanh+SiLU      acc= 84.84  ETA  69.7m
[seed 30]  38/100       Tanh+SELU      acc= 87.24  ETA  64.6m
[seed 20]  36/100       Tanh+SiLU      acc= 87.14  ETA  70.6m
[seed 10]  39/100       Tanh+PReLU     acc= 86.68  ETA  62.2m
[seed 50]  38/100       Tanh+SELU      acc= 87.32  ETA  65.1m
[seed 40]  37/100       Tanh+Mish      acc= 86.23  ETA  68.4m
[seed 30]  39/100       Tanh+PReLU     acc= 86.86  ETA  63.6m
[seed 50]  39/100       Tanh+PReLU     acc= 86.25  ETA  63.8m
[seed 10]  40/100       Tanh+Hardswish acc= 87.50  ETA  61.4m
[seed 20]  37/100       Tanh+Mish      acc= 86.55  ETA  70.0m
[seed 40]  38/100       Tanh+SELU      acc= 87.21  ETA  67.5m
[seed 30]  40/100       Tanh+Hardswish acc= 86.52  ETA  62.5m
[seed 50]  40/100       Tanh+Hardswish acc= 86.20  ETA  62.7m
[seed 10]  41/100       GELU+ReLU      acc= 86.89  ETA  60.2m
[seed 20]  38/100       Tanh+SELU      acc= 86.75  ETA  69.2m
[seed 40]  39/100       Tanh+PReLU     acc= 87.06  ETA  66.3m
[seed 30]  41/100       GELU+ReLU      acc= 86.83  ETA  61.5m
