arch,act1,act2,acc_mean,acc_std,acc_ci95,f1_mean,prec_mean,rec_mean
BiLSTM+LSTM,PReLU,ReLU,86.902,0.447,0.555,86.958,86.582,87.376
BiLSTM+LSTM,Hardswish,Mish,86.898,0.362,0.449,87.014,86.25,87.82
BiLSTM+BiLSTM,Mish,Hardswish,86.898,0.493,0.612,87.022,86.242,87.892
BiLSTM+BiLSTM,Mish,GELU,86.898,0.713,0.885,86.92,86.71,87.228
BiLSTM+BiLSTM,ELU,ReLU,86.892,0.654,0.812,87.028,86.168,87.948
BiLSTM+BiLSTM,Mish,ReLU,86.892,0.266,0.331,86.7,87.988,85.464
BiLSTM+LSTM,LeakyReLU,LeakyReLU,86.892,0.567,0.704,86.856,87.068,86.688
BiLSTM+BiLSTM,PReLU,LeakyReLU,86.884,0.432,0.537,86.608,88.452,84.872
BiLSTM+LSTM,LeakyReLU,PReLU,86.874,0.348,0.433,87.016,86.09,88.016
BiLSTM+BiLSTM,Tanh,LeakyReLU,86.874,0.635,0.788,86.848,86.982,86.732
BiLSTM+BiLSTM,Hardswish,GELU,86.872,0.752,0.933,86.91,86.644,87.228
BiLSTM+BiLSTM,ELU,Mish,86.86,0.472,0.586,86.644,88.078,85.308
BiLSTM+LSTM,Tanh,PReLU,86.86,0.34,0.422,86.972,86.268,87.748
BiLSTM+LSTM,ELU,ReLU,86.86,0.821,1.02,87.002,86.084,87.944
BiLSTM+BiLSTM,ReLU,SiLU,86.858,0.724,0.9,86.784,87.29,86.404
BiLSTM+BiLSTM,PReLU,ReLU,86.858,0.204,0.253,86.682,87.892,85.584
BiLSTM+BiLSTM,SELU,Hardswish,86.856,0.36,0.447,86.982,86.2,87.896
BiLSTM+BiLSTM,SELU,Mish,86.854,0.405,0.503,86.814,87.058,86.62
BiLSTM+LSTM,SiLU,LeakyReLU,86.854,0.469,0.582,86.814,87.062,86.624
BiLSTM+BiLSTM,LeakyReLU,ELU,86.85,0.595,0.739,86.854,86.794,86.996
BiLSTM+BiLSTM,Hardswish,ReLU,86.848,0.35,0.435,86.928,86.402,87.496
BiLSTM+BiLSTM,PReLU,Mish,86.834,0.473,0.587,86.662,87.81,85.576
BiLSTM+BiLSTM,ELU,Hardswish,86.832,0.48,0.596,86.698,87.566,85.892
BiLSTM+BiLSTM,LeakyReLU,PReLU,86.826,0.608,0.754,86.65,87.806,85.608
BiLSTM+LSTM,GELU,SiLU,86.824,0.239,0.296,86.622,88.032,85.32
BiLSTM+BiLSTM,Mish,Mish,86.818,0.597,0.741,86.544,88.348,84.84
BiLSTM+BiLSTM,LeakyReLU,Tanh,86.818,0.25,0.31,87.058,85.516,88.712
BiLSTM+BiLSTM,SiLU,ReLU,86.812,0.22,0.273,86.772,87.066,86.588
BiLSTM+LSTM,SiLU,ReLU,86.81,0.26,0.323,86.98,85.934,88.132
BiLSTM+LSTM,SELU,Mish,86.81,0.69,0.857,86.838,86.652,87.04
BiLSTM+BiLSTM,Mish,SELU,86.808,0.44,0.547,86.63,87.848,85.56
BiLSTM+LSTM,SiLU,Hardswish,86.808,0.551,0.684,86.894,86.368,87.528
BiLSTM+BiLSTM,ReLU,GELU,86.806,0.301,0.373,86.546,88.29,84.924
BiLSTM+BiLSTM,LeakyReLU,Hardswish,86.804,0.666,0.827,86.894,86.408,87.452
BiLSTM+BiLSTM,Hardswish,Hardswish,86.804,0.549,0.682,86.662,87.594,85.796
BiLSTM+LSTM,ReLU,Hardswish,86.8,0.272,0.338,86.838,86.602,87.148
BiLSTM+LSTM,ReLU,SiLU,86.792,0.369,0.458,86.79,86.798,86.796
BiLSTM+BiLSTM,Tanh,SELU,86.792,0.788,0.978,86.604,87.782,85.536
BiLSTM+BiLSTM,ReLU,SELU,86.792,0.212,0.264,86.742,87.1,86.552
BiLSTM+BiLSTM,Hardswish,SELU,86.79,0.515,0.64,86.62,87.734,85.552
BiLSTM+BiLSTM,Mish,Tanh,86.788,0.717,0.89,86.48,88.478,84.656
BiLSTM+BiLSTM,LeakyReLU,GELU,86.784,0.391,0.485,86.762,86.944,86.672
BiLSTM+BiLSTM,Hardswish,LeakyReLU,86.78,0.863,1.072,86.748,87.118,86.536
BiLSTM+BiLSTM,LeakyReLU,LeakyReLU,86.776,0.38,0.472,86.726,87.07,86.48
BiLSTM+LSTM,ReLU,LeakyReLU,86.768,0.254,0.315,86.684,87.254,86.168
BiLSTM+LSTM,ELU,ELU,86.768,0.511,0.635,86.842,86.42,87.38
BiLSTM+BiLSTM,ELU,PReLU,86.768,0.452,0.561,86.772,86.742,86.832
BiLSTM+BiLSTM,GELU,SELU,86.766,0.769,0.955,86.828,86.368,87.368
BiLSTM+BiLSTM,GELU,SiLU,86.764,0.234,0.291,86.612,87.642,85.668
