Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+BiGRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+BiGRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 40]  31/100       Tanh+ReLU      acc= 87.96  ETA  54.3m
[seed 10]  32/100       Tanh+ELU       acc= 87.03  ETA  52.3m
[seed 20]  30/100  LeakyReLU+Hardswish acc= 87.57  ETA  57.8m
[seed 50]  30/100  LeakyReLU+Hardswish acc= 87.80  ETA  58.5m
[seed 30]  30/100  LeakyReLU+Hardswish acc= 87.73  ETA  58.5m
[seed 40]  32/100       Tanh+ELU       acc= 86.83  ETA  53.3m
[seed 10]  33/100       Tanh+LeakyReLU acc= 87.67  ETA  51.7m
[seed 20]  31/100       Tanh+ReLU      acc= 87.49  ETA  56.9m
[seed 50]  31/100       Tanh+ReLU      acc= 87.57  ETA  57.6m
[seed 30]  31/100       Tanh+ReLU      acc= 87.74  ETA  57.6m
[seed 40]  33/100       Tanh+LeakyReLU acc= 88.27  ETA  52.9m
[seed 10]  34/100       Tanh+Tanh      acc= 87.19  ETA  51.0m
[seed 20]  32/100       Tanh+ELU       acc= 87.47  ETA  56.1m
[seed 50]  32/100       Tanh+ELU       acc= 87.44  ETA  56.8m
[seed 30]  32/100       Tanh+ELU       acc= 87.29  ETA  56.8m
[seed 40]  34/100       Tanh+Tanh      acc= 87.01  ETA  52.1m
[seed 20]  33/100       Tanh+LeakyReLU acc= 87.58  ETA  55.3m
[seed 10]  35/100       Tanh+GELU      acc= 87.67  ETA  50.6m
[seed 50]  33/100       Tanh+LeakyReLU acc= 87.91  ETA  55.9m
[seed 30]  33/100       Tanh+LeakyReLU acc= 87.19  ETA  55.9m
[seed 40]  35/100       Tanh+GELU      acc= 87.48  ETA  51.4m
[seed 20]  34/100       Tanh+Tanh      acc= 87.50  ETA  54.4m
[seed 10]  36/100       Tanh+SiLU      acc= 87.30  ETA  49.9m
[seed 50]  34/100       Tanh+Tanh      acc= 87.32  ETA  55.0m
[seed 30]  34/100       Tanh+Tanh      acc= 87.46  ETA  55.0m
[seed 40]  36/100       Tanh+SiLU      acc= 86.52  ETA  50.7m
[seed 10]  37/100       Tanh+Mish      acc= 87.47  ETA  49.0m
[seed 20]  35/100       Tanh+GELU      acc= 87.35  ETA  53.6m
[seed 50]  35/100       Tanh+GELU      acc= 87.55  ETA  54.2m
[seed 30]  35/100       Tanh+GELU      acc= 87.47  ETA  54.2m
[seed 40]  37/100       Tanh+Mish      acc= 87.04  ETA  49.7m
[seed 20]  36/100       Tanh+SiLU      acc= 87.72  ETA  52.8m
[seed 10]  38/100       Tanh+SELU      acc= 87.94  ETA  48.5m
[seed 50]  36/100       Tanh+SiLU      acc= 87.67  ETA  53.3m
[seed 30]  36/100       Tanh+SiLU      acc= 87.45  ETA  53.3m
[seed 40]  38/100       Tanh+SELU      acc= 86.37  ETA  49.0m
[seed 20]  37/100       Tanh+Mish      acc= 87.87  ETA  52.0m
[seed 10]  39/100       Tanh+PReLU     acc= 87.67  ETA  47.8m
[seed 50]  37/100       Tanh+Mish      acc= 87.60  ETA  52.5m
[seed 40]  39/100       Tanh+PReLU     acc= 87.10  ETA  48.3m
[seed 30]  37/100       Tanh+Mish      acc= 87.49  ETA  52.5m
[seed 10]  40/100       Tanh+Hardswish acc= 87.42  ETA  46.8m
[seed 20]  38/100       Tanh+SELU      acc= 87.59  ETA  51.2m
[seed 40]  40/100       Tanh+Hardswish acc= 86.58  ETA  47.5m
[seed 30]  38/100       Tanh+SELU      acc= 87.41  ETA  51.7m
[seed 50]  38/100       Tanh+SELU      acc= 87.50  ETA  51.9m
[seed 10]  41/100       GELU+ReLU      acc= 87.59  ETA  46.1m
[seed 20]  39/100       Tanh+PReLU     acc= 87.42  ETA  50.3m
[seed 40]  41/100       GELU+ReLU      acc= 87.36  ETA  46.8m
[seed 30]  39/100       Tanh+PReLU     acc= 87.70  ETA  50.8m
[seed 50]  39/100       Tanh+PReLU     acc= 87.64  ETA  51.0m
